#;Player;Pos;Team;FPT;CR;GP;MIN;ST;PTS;REB;AST;STL;BLK;BA;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;TOV;PF;FD;+/-
148;J. Dibartolomeo;G;MTA;5.9;0.0;29;14.8;8;4.8;2.0;1.1;0.7;0.0;0.1;1.5;3.8;39.4;1.1;2.9;39.3;0.7;0.7;100.0;0.7;1.3;0.5;1.6;1.4;0.0
149;I. Papapetrou;F;PAO;5.8;6.7;16;17.1;4;5.6;2.0;0.7;0.3;0.2;0.3;1.9;3.9;49.2;1.0;1.9;51.6;0.8;0.9;80.0;0.4;1.6;0.4;1.4;0.9;0.0
150;R. Jokubaitis;G;BAR;5.8;0.0;36;15.5;2;5.3;1.7;2.8;0.3;0.1;0.2;2.3;5.1;44.3;0.4;1.3;27.7;0.4;0.6;65.2;0.4;1.3;1.3;1.3;1.1;0.0
151;J. Smith;G;PAR;5.8;0.0;20;13.7;4;5.8;1.6;1.0;0.7;0.1;0.3;2.1;4.3;47.7;1.1;2.4;44.7;0.7;0.7;92.9;0.6;1.0;0.7;1.4;0.9;0.0
152;B. Toure;C;VBC;5.8;0.0;21;13.7;8;4.0;4.1;0.2;0.3;0.6;0.4;1.7;3.0;56.5;0.0;0.0;0.0;0.6;1.1;54.2;1.5;2.6;0.9;1.9;1.3;0.0
153;S. Llull;G;RMB;5.7;5.4;33;18.1;2;7.9;1.2;2.0;0.3;0.0;0.0;2.7;7.2;37.1;1.6;4.6;34.0;1.0;1.3;72.7;0.1;1.1;1.1;1.5;1.3;0.0
154;A. Obst;G;BAY;5.7;0.0;22;18.7;3;7.5;1.5;0.7;0.2;0.0;0.1;2.5;6.0;41.2;2.1;5.2;40.9;0.5;0.6;78.6;0.2;1.3;0.5;1.1;0.9;0.0
155;A. Polonara;F;VIR;5.5;0.0;21;12.6;1;3.1;2.7;1.2;0.5;0.5;0.1;1.2;2.7;43.9;0.6;1.4;44.8;0.1;0.2;60.0;0.9;1.8;0.5;1.3;0.9;0.0
156;M. Strazel;G;ASM;5.4;0.0;17;13.1;11;4.4;0.6;1.8;0.5;0.0;0.1;1.4;3.6;38.7;0.5;1.5;30.8;1.1;1.4;79.2;0.0;0.6;0.3;1.1;1.6;0.0
157;A. Noua;F;FBB;5.3;6.5;13;13.8;7;3.8;2.6;0.5;0.2;0.7;0.1;1.5;2.8;54.1;0.5;1.2;37.5;0.3;0.4;80.0;1.1;1.5;0.2;1.9;0.7;0.0
158;R. Fernandez;F;RMB;5.3;4.2;24;15.4;0;3.3;1.9;1.5;0.9;0.0;0.0;1.0;2.8;37.3;1.0;2.6;36.5;0.3;0.3;85.7;0.3;1.6;0.3;1.3;0.7;0.0
159;D. Brankovic;C;BAY;5.3;0.0;25;10.0;5;4.2;2.5;0.4;0.4;0.4;0.2;1.8;2.9;62.5;0.2;0.4;44.4;0.5;0.6;85.7;0.9;1.6;0.5;1.8;0.6;0.0
160;Y. Madar;G;FBB;5.2;4.0;30;13.5;4;4.3;1.2;2.0;0.6;0.1;0.1;1.4;3.1;45.7;0.4;1.3;32.5;1.0;1.2;82.9;0.3;0.8;0.9;1.6;1.3;0.0
161;N. Rogkavopoulos;F;BKN;5.2;0.0;29;13.5;6;6.1;1.7;0.5;0.5;0.1;0.3;2.1;4.2;50.0;1.3;2.5;52.1;0.6;0.8;77.3;0.6;1.1;0.6;1.6;0.7;0.0
162;A. Pajola;G;VIR;5.2;0.0;34;17.0;8;3.9;1.8;3.0;0.8;0.1;0.1;1.2;3.1;38.7;0.7;2.1;35.2;0.7;1.0;72.7;0.4;1.4;1.1;2.7;1.4;0.0
163;E. Harris;C;BAY;5.1;0.0;14;10.1;0;4.9;2.6;0.4;0.3;0.0;0.4;1.9;3.5;55.1;0.1;0.1;100.0;0.9;1.1;75.0;1.4;1.3;0.6;1.5;1.2;0.0
